color_name_english,color_name_japanese,hex,description
Brilliant White,ブリリアントホワイト,#EDF1FE,
Commercial White,コマーシャルホワイト,#EDECE6,
Feather White,フェザーホワイト,#E7EAE5,
Swan White,スワンホワイト,#FCFCFC,
Polar Bear,ポーラーベアー,#EAE9E0,
Paper White,ペーパーホワイト,#F7FCFE,
Pacific Pearl,パシフィックパール,#E8EAE6,
Night White,ナイトホワイト,#E1E1DD,
Delicate White,デリケートホワイト,#F1F2EE,
Coconut White,ココナッツホワイト,#E9EDF6,
Cake Batter,ケーキバター,#F0EDDB,
White Sand,ホワイトサンド,#ECE9E4,
Stone White,ストーンホワイト,#FBF6F0,
White Chocolate,ホワイトチョコレート,#EDE6D6,
Retro White,レトロホワイト,#EDEAE2,
